村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Division1,Subdivision,Start Year,End Year,Data
0001,太平店村志,小学在校生 Elementary School Students,,,1960,1968,250
0001,太平店村志,小学在校生 Elementary School Students,,,1969,1970,500
0001,太平店村志,小学在校生 Elementary School Students,,,1988,1991,350
0001,太平店村志,小学在校生 Elementary School Students,,,1991,1997,350
0001,太平店村志,小学在校生 Elementary School Students,,,1997,2003,300
0001,太平店村志,小学在校生 Elementary School Students,,,2003,2008,400
0001,太平店村志,小学老师 Elementary School Teachers,,,1969,1970,22
0001,太平店村志,小学老师 Elementary School Teachers,,,1988,1991,16
0001,太平店村志,小学老师 Elementary School Teachers,,,1991,1997,15
0001,太平店村志,小学老师 Elementary School Teachers,,,1997,2003,15
0001,太平店村志,小学老师 Elementary School Teachers,,,2003,2008,14
0004,万秀村志,小学在校生 Elementary School Students,,,1951,1952,80
0004,万秀村志,小学在校生 Elementary School Students,,,1952,1953,110
0004,万秀村志,小学在校生 Elementary School Students,,,1953,1954,125
0004,万秀村志,小学在校生 Elementary School Students,,,1954,1955,148
0004,万秀村志,小学在校生 Elementary School Students,,,1955,1956,150
0004,万秀村志,小学在校生 Elementary School Students,,,1956,1957,156
0004,万秀村志,小学在校生 Elementary School Students,,,1957,1958,199
0004,万秀村志,小学在校生 Elementary School Students,,,1958,1959,237
0004,万秀村志,小学在校生 Elementary School Students,,,1959,1960,244
0004,万秀村志,小学在校生 Elementary School Students,,,1960,1961,246
0004,万秀村志,小学在校生 Elementary School Students,,,1961,1962,240
0004,万秀村志,小学在校生 Elementary School Students,,,1962,1963,281
0004,万秀村志,小学在校生 Elementary School Students,,,1963,1964,286
0004,万秀村志,小学在校生 Elementary School Students,,,1964,1965,288
0004,万秀村志,小学在校生 Elementary School Students,,,1965,1966,321
0004,万秀村志,小学在校生 Elementary School Students,,,1966,1967,323
0004,万秀村志,小学在校生 Elementary School Students,,,1967,1968,357
0004,万秀村志,小学在校生 Elementary School Students,,,1968,1969,275
0004,万秀村志,小学在校生 Elementary School Students,,,1969,1970,310
0004,万秀村志,小学在校生 Elementary School Students,,,1970,1971,277
0004,万秀村志,小学在校生 Elementary School Students,,,1971,1972,309
0004,万秀村志,小学在校生 Elementary School Students,,,1973,1974,311
0004,万秀村志,小学在校生 Elementary School Students,,,1974,1975,279
0004,万秀村志,小学在校生 Elementary School Students,,,1975,1976,306
0004,万秀村志,小学在校生 Elementary School Students,,,1976,1977,315
0004,万秀村志,小学在校生 Elementary School Students,,,1977,1978,331
0004,万秀村志,小学在校生 Elementary School Students,,,1978,1979,339
0004,万秀村志,小学在校生 Elementary School Students,,,1979,1980,374
0004,万秀村志,小学在校生 Elementary School Students,,,1980,1981,354
0004,万秀村志,小学在校生 Elementary School Students,,,1981,1982,376
0004,万秀村志,小学在校生 Elementary School Students,,,1982,1983,379
0004,万秀村志,小学在校生 Elementary School Students,,,1983,1984,363
0004,万秀村志,小学在校生 Elementary School Students,,,1984,1985,348
0004,万秀村志,小学在校生 Elementary School Students,,,1985,1986,336
0004,万秀村志,小学在校生 Elementary School Students,,,1986,1987,330
0004,万秀村志,小学在校生 Elementary School Students,,,1987,1988,350
0004,万秀村志,小学在校生 Elementary School Students,,,1988,1989,361
0004,万秀村志,小学在校生 Elementary School Students,,,1989,1990,381
0004,万秀村志,小学在校生 Elementary School Students,,,1990,1991,402
0004,万秀村志,小学在校生 Elementary School Students,,,1991,1992,495
0004,万秀村志,小学在校生 Elementary School Students,,,1992,1993,646
0004,万秀村志,小学在校生 Elementary School Students,,,1993,1994,655
0004,万秀村志,小学在校生 Elementary School Students,,,1994,1995,741
0004,万秀村志,小学在校生 Elementary School Students,,,1995,1996,840
0004,万秀村志,小学在校生 Elementary School Students,,,1996,1997,892
0004,万秀村志,小学在校生 Elementary School Students,,,1997,1998,962
0004,万秀村志,小学在校生 Elementary School Students,,,1998,1999,958
0004,万秀村志,小学在校生 Elementary School Students,,,1999,2000,882
0004,万秀村志,小学在校生 Elementary School Students,,,2000,2001,879
0004,万秀村志,小学在校生 Elementary School Students,,,2001,2002,874
0004,万秀村志,小学在校生 Elementary School Students,,,2002,2003,823
0004,万秀村志,小学在校生 Elementary School Students,,,2003,2004,759
0004,万秀村志,小学在校生 Elementary School Students,,,2004,2005,772
0004,万秀村志,小学在校生 Elementary School Students,,,2005,2006,762
0004,万秀村志,小学在校生 Elementary School Students,,,2006,2007,812
0004,万秀村志,小学在校生 Elementary School Students,,,2007,2008,914
0004,万秀村志,小学老师 Elementary School Teachers,,,1952,1953,3
0004,万秀村志,小学老师 Elementary School Teachers,,,1953,1954,3
0004,万秀村志,小学老师 Elementary School Teachers,,,1954,1955,4
0004,万秀村志,小学老师 Elementary School Teachers,,,1955,1956,4
0004,万秀村志,小学老师 Elementary School Teachers,,,1956,1957,4
0004,万秀村志,小学老师 Elementary School Teachers,,,1957,1958,6
0004,万秀村志,小学老师 Elementary School Teachers,,,1958,1959,6
0004,万秀村志,小学老师 Elementary School Teachers,,,1959,1960,7
0004,万秀村志,小学老师 Elementary School Teachers,,,1960,1961,8
0004,万秀村志,小学老师 Elementary School Teachers,,,1961,1962,9
0004,万秀村志,小学老师 Elementary School Teachers,,,1962,1963,12
0004,万秀村志,小学老师 Elementary School Teachers,,,1963,1964,13
0004,万秀村志,小学老师 Elementary School Teachers,,,1964,1965,13
0004,万秀村志,小学老师 Elementary School Teachers,,,1965,1966,13
0004,万秀村志,小学老师 Elementary School Teachers,,,1966,1967,13
0004,万秀村志,小学老师 Elementary School Teachers,,,1967,1968,13
0004,万秀村志,小学老师 Elementary School Teachers,,,1968,1969,16
0004,万秀村志,小学老师 Elementary School Teachers,,,1969,1970,19
0004,万秀村志,小学老师 Elementary School Teachers,,,1970,1971,20
0004,万秀村志,小学老师 Elementary School Teachers,,,1971,1972,23
0004,万秀村志,小学老师 Elementary School Teachers,,,1972,1973,23
0004,万秀村志,小学老师 Elementary School Teachers,,,1973,1974,23
0004,万秀村志,小学老师 Elementary School Teachers,,,1974,1975,23
0004,万秀村志,小学老师 Elementary School Teachers,,,1975,1976,23
0004,万秀村志,小学老师 Elementary School Teachers,,,1976,1977,23
