村志代码 Gazetteer Code,村志书名 Gazetteer Title,村志书名 - 汉语拼音 Gazetteer Title - Hanyu Pinyin,出版年 Year of Publication,出版类型 Publication Type
0001,太平店村志,Changge Shi Taipingdian Cun zhi,2009,正式出版 Formal
0002,叶店村志,Yedian Cun zhi,2008,非正式出版物 Informal
0003,马鞭田村志,Mabiantian Cun zhi,2012,正式出版 Formal
0004,万秀村志,Wanxiu Cun zhi,2009,正式出版 Formal
0005,光淀村志,Guangdian Cun zhi,2004,非正式出版物 Informal
0006,方等村志,Hebei Sheng Lincheng Xian Fangdeng Cun zhi,2012,非正式出版物 Informal
0007,渔津洼村志,Yujinwa Cun zhi,2002,正式出版 Formal
0008,板板桥村志,Banbanqiao Cun zhi,2007,正式出版 Formal
0009,仓上村志,Cangshang Cun zhi,2011,内部出版 Internal
0010,草场地村志,Caochangdi Cun zhi,2007,非正式出版物 Informal
0011,桥梓村志,Dongguan Shi Changping Zhen Qiaozi Cun zhi,2010,正式出版 Formal
0012,东侯坊村志,Donghoufang Cun zhi,2017,非正式出版物 Informal
0013,黄土岗村志,Huangtugang Cun zhi,2009,非正式出版物 Informal
0014,桑耳庄村志,Sang’erzhuang Cun zhi,2001,正式出版 Formal
0015,三合村志,Sanhe Cun zhi,2013,正式出版 Formal
0016,上梅林村志,Shangmeilin Cun zhi,2007,正式出版 Formal
0017,单家村村志,Shanjia Cun Cun zhi,2011,非正式出版物 Informal
0018,生产村志,Shengchan Cun zhi,1994,非正式出版物 Informal
0019,树园村志,Shuyuan Cun zhi,2006,非正式出版物 Informal
0020,西黄村村志,Xihuang Cun Cun zhi,2010,非正式出版物 Informal
0021,张坊村志,Zhangfang Cun zhi,2011,正式出版 Formal
0022,张家圩子村志,Zhangjiaweizi Cun zhi (1401-2011),2012,正式出版 Formal
0023,凤池村志,Fengchi Cun zhi,2007,非正式出版物 Informal
0024,楼村志,Lou Cun zhi,2009,正式出版 Formal
0025,马头村志,Matou Cun zhi,2013,正式出版 Formal
0026,孟莲村志,Menglian Cun zhi,2008,正式出版 Formal
0027,马岭村志,Maling Cun zhi,2013,正式出版 Formal
0028,莲塘村志(修订),Liantang Cun zhi (xiu ding),2010,内部出版 Internal
0029,刘国忠村志,Liuguozhong Cun zhi,2012,非正式出版物 Informal
0030,管元村志,Guanyuan Cun zhi,2005,正式出版 Formal
0031,南凤山村志,Nanfengshan Cun zhi,2009,内部出版 Internal
0032,井亭村志,Jingting Cun zhi,2010,正式出版 Formal
