村志代码 Gazetteer Code,村志书名 Gazetteer Title,姓氏总数 Total Number of Last Names in Village,前五大姓氏 - 汉字 Five Most Common Last Names in Village - Chinese Characters,前五大姓氏 - 汉语拼音 Five Most Common Last Names in Village - Hanyu Pinyin
0001,太平店村志,17,"马, 范, 李, 梁, 姚","Ma, Fan, Li, Liang, Yao"
0002,叶店村志,45,"叶, 邓, 杨, 陈, 梅","Ye, Deng, Yang, Chen, Mei"
0003,马鞭田村志,59,"张, 陈, 杨, 杜, 王","Zhang, Chen, Yang, Du, Wang"
0004,万秀村志,117,"邓, 陈, 黄, 梁, 林","Deng, Chen, Huang, Liang, Lin"
0005,光淀村志,26,n/a,n/a
0006,方等村志,19,"赵, 路, 张, 刘, 李","Zhao, Lu, Zhang, Liu, Li"
0007,渔津洼村志,15,"张, 刘, 王, 朱, 李","Zhang, Liu, Wang, Zhu, Li"
0009,仓上村志,107,"张, 陈, 谷, 王, 李","Zhang, Chen, Gu, Wang, Li"
0010,草场地村志,n/a,"孙, 张, n/a, n/a, n/a","Sun, Zhang, n/a, n/a, n/a"
0011,桥梓村志,n/a,"周, n/a, n/a, n/a, n/a","Zhou, n/a, n/a, n/a, n/a"
0012,东侯坊村志,14,"李, 姚, 罗, 杨, 刘","Li, Yao, Luo, Yang, Liu"
0013,黄土岗村志,295,"王, 卢, 殷, 张, 亢","Wang, Lu, Yin, Zhang, Kang"
0014,桑耳庄村志,12,"桑, 成, 张, 高, 李","Sang, Cheng, Zhang, Gao, Li"
0015,三合村志,52,"傅, 李, 杨, 王, 刁","Fu, Li, Yang, Wang, Diao"
0017,单家村村志,n/a,"许, 李, 康, 单, 周","Xu, Li, Kang, Shan, Zhou"
0019,树园村志,103,"沈, 顾, 王, 薛, 吴","Shen, Gu, Wang, Xue, Wu"
0021,张坊村志,25,"张, 王, 李, 赵, 刘","Zhang, Wang, Li, Zhao, Liu"
0022,张家圩子村志,90,"张, 王, 孔, 杨, 刘","Zhang, Wang, Kong, Yang, Liu"
0024,楼村志,n/a,"陈, n/a, n/a, n/a, n/a","Chen, n/a, n/a, n/a, n/a"
0025,马头村志,62,"宋, 罗, 王, 涂, 李","Song, Luo, Wang, Tu, Li"
0026,孟莲村志,89,"张, 李, 黄, 梁, 周","Zhang, Li, Huang, Liang, Zhou"
0027,马岭村志,78,"陈, 麦, 林, 周, 黎","Chen, Mai, Lin, Zhou, Li"
0028,莲塘村志,8,n/a,n/a
0029,刘国忠村志,n/a,"刘, n/a, n/a, n/a, n/a","Liu, n/a, n/a, n/a, n/a"
0031,南凤山村志,21,"李, 程, 王, 武, 乔","Li, Cheng, Wang, Wu, Qiao"
0033,见守村志,13,"陈, 甄, 贾, 王, 张","Chen, Zhen, Jia, Wang, Zhang"
0034,胡家村志,70,"刘, 穆, 王, 朱, 聂","Liu, Mu, Wang, Zhu, Nie"
0035,洪塘头村志,7,n/a,n/a
0036,周家巷村志,118,"周, 张, 潘, 吴, 王","Zhou, Zhang, Pan, Wu, Wang"
0038,梁口村志,5,"郑, n/a, n/a, n/a, n/a","Zheng, n/a, n/a, n/a, n/a"
0039,骏马村志,63,n/a,n/a
0041,博潭村志,10,"王, 陈, 罗, 姚, 洪","Wang, Chen, Luo, Yao, Hong"
0043,草厂村志,105,"张, 何, 田, 任, n/a","Zhang, He, Tian, Ren, n/a"
0044,大吕庄村志,86,"王, 刘, 和, 李, 秦","Wang, Liu, He, Li, Qin"
0046,方家村志,130,"王, 李, 方, 刘, 史","Wang, Li, Fang, Liu, Shi"
0047,冯桥村志,40,"刘, 王, 李, 邱, 毛","Liu, Wang, Li, Qiu, Mao"
0049,富强村志,43,"何, 陈, 金, 张, 徐","He, Chen, Jin, Zhang, Xu"
0050,音西村志,45,n/a,n/a
0052,郭家沟村,75,"郭, 韩, 王, 杨, 刘","Guo, Han, Wang, Yang, Liu"
0053,牟家村志,116,"承, 朱, 牟, 吴, 李","Cheng, Zhu, Mou, Wu, Li"
0054,西官庄村志,79,"陈, 刘, 王, 臧, 赵","Chen, Liu, Wang, Zang, Zhao"
0055,西园村志,26,"陈, 吴, 王, 高, n/a","Chen, Wu, Wang, Gao, n/a"
0056,沐陂村志,n/a,"陈, 金, 周, 龚, 王","Chen, Jin, Zhou, Gong, Wang"
0059,云水村志,24,"傅, 郭, 李, 王, 孔","Fu, Guo, Li, Wang, Kong"
0060,平地村志,78,"黄, 陈, 梁, 李, 叶","Huang, Chen, Liang, Li, Ye"
0062,新华村志,20,"徐, 张, 郭, 杨, 邹","Xu, Zhang, Guo, Yang, Zou"
0063,盘山村志,9,"彭, 岳, 王, 程, 杨","Peng, Yue, Wang, Cheng, Yang"
0065,仙台村村志,118,"陈, 吴, 解, 肖, 胡","Chen, Wu, Xie, Xiao, Hu"
0066,四马台村志,17,n/a,n/a
0068,五河苗族村志,8,n/a,n/a
0070,乌玉村志,64,"刘, 张, 李, 王, 韩","Liu, Zhang, Li, Wang, Han"
0071,前夹山村志,89,"张, 王, 金, 刘, 高","Zhang, Wang, Jin, Liu, Gao"
0072,浦联村志,101,"虞, 蒋, 来, 汤, 周","Yu, Jiang, Lai, Tang, Zhou"
0073,三元朱村志,n/a,"王, 徐, 朱, 张, 陈","Wang, Xu, Zhu, Zhang, Chen"
0074,上东廓村志,n/a,"孙, 李, 杨, 邵, 安","Sun, Li, Yang, Shao, An"
0076,沁水营村志,31,"张, 郭, 郑, 刘, 冯","Zhang, Guo, Zheng, Liu, Feng"
0077,三洋村志,45,"杨, 高, 曹, 于, 方","Yang, Gao, Cao, Yu, Fang"
0078,三八里村志,64,"张, 刘, 韩, 徐, 王","Zhang, Liu, Han, Xu, Wang"
0080,新店村志,11,n/a,n/a
0081,北仪仙村志,98,n/a,n/a
0082,北良侯村志,9,"李, 王, 任, 刘, 程","Li, Wang, Ren, liu, Cheng"
