村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Division1,Division2,Start Year,End Year,Data
0002,叶店村志,入伍 Military Enlistment,,,1949,2007,46
0003,马鞭田村志,入伍 Military Enlistment,,,1949,2009,69
0003,马鞭田村志,共产党员 CCP Membership,男 Male,,1957,2009,52
0003,马鞭田村志,共产党员 CCP Membership,女 Female,,1957,2009,5
0003,马鞭田村志,共产党员 CCP Membership,总 Total,,1957,2009,57
0003,马鞭田村志,共产党员 CCP Membership,少数民族 Ethnic Minorities,,1957,2009,19
0013,黄土岗村志,新党员 New CCP Membership,总 Total,,1949,1966,35
0013,黄土岗村志,新党员 New CCP Membership,总 Total,,1966,1976,33
0014,桑耳庄村志,村民纠纷 Number of Civil Mediations,,,1990,2000,560
0014,桑耳庄村志,入伍 Military Enlistment,,,1955,2000,100
0014,桑耳庄村志,新党员 New CCP Membership,男 Male,,1941,1943,17
0014,桑耳庄村志,新党员 New CCP Membership,男 Male,,1944,1949,28
0014,桑耳庄村志,新党员 New CCP Membership,男 Male,,1966,1967,18
0014,桑耳庄村志,新党员 New CCP Membership,男 Male,,1967,1978,29
0014,桑耳庄村志,新党员 New CCP Membership,男 Male,,1983,2000,14
0014,桑耳庄村志,新党员 New CCP Membership,女 Female,,1941,1943,1
0014,桑耳庄村志,新党员 New CCP Membership,女 Female,,1944,1949,8
0014,桑耳庄村志,新党员 New CCP Membership,女 Female,,1950,1965,2
0014,桑耳庄村志,新党员 New CCP Membership,女 Female,,1966,1967,7
0014,桑耳庄村志,新党员 New CCP Membership,女 Female,,1967,1978,2
0014,桑耳庄村志,新党员 New CCP Membership,女 Female,,1983,2000,2
0014,桑耳庄村志,新党员 New CCP Membership,总 Total,,1941,1943,18
0014,桑耳庄村志,新党员 New CCP Membership,总 Total,,1944,1949,36
0014,桑耳庄村志,新党员 New CCP Membership,总 Total,,1950,1965,22
0014,桑耳庄村志,新党员 New CCP Membership,总 Total,,1966,1967,25
0014,桑耳庄村志,新党员 New CCP Membership,总 Total,,1967,1978,31
