村志代码 Gazetteer Code,村志书名 Gazetteer Title,液化气 Liquefied Gas,管道燃气 Pipeline Gas,天然气 Natural Gas,自来水 Tap Water,供电 Electricity Service,电视机 Television Set,电话机 Telephone,有线广播 Wired-line Broadcasting
0001,太平店村志,n/a,n/a,n/a,n/a,n/a,1969,n/a,1956
0002,叶店村志,n/a,n/a,n/a,n/a,1962,1966,n/a,n/a
0003,马鞭田村志,n/a,n/a,n/a,n/a,1979,n/a,n/a,n/a
0004,万秀村志,n/a,n/a,n/a,n/a,1955,n/a,1955,n/a
0005,光淀村志,n/a,n/a,n/a,1979,1972,n/a,1999,n/a
0006,方等村志,n/a,n/a,n/a,n/a,1966,1972,1957,1965
0007,渔津洼村志,n/a,n/a,n/a,n/a,1961,n/a,n/a,n/a
0008,板板桥村志,n/a,n/a,n/a,n/a,n/a,1987,n/a,1968
0009,仓上村志,n/a,n/a,n/a,1980,n/a,1981,n/a,n/a
0010,草场地村志,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1958
0012,东侯坊村志,n/a,n/a,n/a,1983,n/a,1971,1958,n/a
0013,黄土岗村志,n/a,n/a,n/a,n/a,n/a,1979,n/a,1958
0014,桑耳庄村志,n/a,n/a,n/a,n/a,n/a,1984,1952,1957
0015,三合村志,n/a,n/a,n/a,n/a,n/a,1976,n/a,n/a
0017,单家村村志,n/a,n/a,n/a,1986,n/a,n/a,1956,n/a
0018,生产村志,n/a,n/a,n/a,n/a,1968,n/a,n/a,n/a
0019,树园村志,n/a,n/a,n/a,1981,1965,n/a,n/a,1958
0020,西黄村村志,n/a,n/a,n/a,1989,1957,n/a,1958,n/a
0021,张坊村志,n/a,n/a,n/a,1986,1962,n/a,n/a,n/a
0022,张家圩子村志,n/a,n/a,n/a,2005,1977,1980,n/a,1968
0023,凤池村志,n/a,n/a,n/a,1992,1958,n/a,n/a,n/a
0024,楼村志,n/a,n/a,n/a,1986,1972,n/a,n/a,n/a
0025,马头村志,n/a,n/a,n/a,n/a,1957,1977,n/a,1958
0026,孟莲村志,n/a,n/a,n/a,1995,1963,n/a,n/a,n/a
0027,马岭村志,n/a,n/a,n/a,2004,n/a,n/a,n/a,n/a
0028,莲塘村志,n/a,n/a,n/a,2000,1974,n/a,n/a,n/a
0029,刘国忠村志,n/a,n/a,n/a,2000,1998,1998,n/a,n/a
0031,南凤山村志,n/a,n/a,n/a,1950,1950,1974,n/a,n/a
0032,井亭村志,1991,2002,2005,1987,1959,n/a,1981,1956
0034,胡家村志,n/a,n/a,n/a,n/a,1968,n/a,n/a,n/a
0035,洪塘头村志,n/a,n/a,n/a,2000,n/a,2002,1992,n/a
0036,周家巷村志,n/a,n/a,n/a,2004,1962,n/a,n/a,n/a
0037,联盟村志,n/a,n/a,n/a,1967,1953,n/a,1970,n/a
0038,梁口村志,n/a,n/a,n/a,n/a,1968,n/a,n/a,n/a
0040,金家坪村志,n/a,n/a,n/a,n/a,n/a,2003,n/a,n/a
0041,博潭村志,n/a,n/a,n/a,n/a,1966,1981,n/a,1984
0042,新桥村志,1995,n/a,n/a,1986,1958,n/a,n/a,1956
0043,草厂村志,n/a,n/a,n/a,1971,1959,n/a,n/a,n/a
0044,大吕庄村志,n/a,n/a,n/a,n/a,1970,1981,1986,1956
0045,定安村志,n/a,n/a,n/a,n/a,n/a,1987,n/a,1957
0046,方家村志,n/a,n/a,n/a,1985,n/a,n/a,n/a,n/a
0047,冯桥村志,n/a,n/a,n/a,1985,1963,n/a,n/a,1961
0048,小瓦窑村志,n/a,n/a,n/a,1990,1958,1975,n/a,1958
0049,富强村志,n/a,n/a,n/a,1979,1964,n/a,1957,n/a
0051,潭前王村志,n/a,n/a,n/a,n/a,n/a,n/a,1950,n/a
0052,郭家沟村,n/a,n/a,n/a,1987,1968,n/a,n/a,n/a
0053,牟家村志,n/a,n/a,2006,1988,1967,n/a,n/a,n/a
0054,西官庄村志,n/a,n/a,n/a,n/a,1964,n/a,1960,1959
0055,西园村志,n/a,n/a,n/a,1982,1966,n/a,n/a,n/a
0056,沐陂村志,n/a,n/a,n/a,2004,1958,n/a,n/a,n/a
0057,尧治河村志,n/a,n/a,n/a,2002,1990,1991,1998,1970
0058,袁家沟村志,n/a,n/a,n/a,1985,1960,n/a,1992,n/a
0059,云水村志,n/a,n/a,n/a,2000,1969,1979,2001,n/a
0060,平地村志,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1955
0061,西高庄村志,n/a,n/a,n/a,1958,1988,1994,n/a,n/a
0062,新华村志,n/a,n/a,n/a,n/a,1961,n/a,1984,n/a
0063,盘山村志,n/a,n/a,n/a,1995,1971,1984,1956,1957
0064,三路居村志,n/a,n/a,n/a,n/a,1957,1995,1958,1971
0065,仙台村村志,n/a,n/a,n/a,n/a,1961,1980,1961,1964
0066,四马台村志,n/a,n/a,n/a,1982,1969,n/a,n/a,1958
