id,name,pinyin
1,万年县,Wannian Xian
2,上杭县,Shanghang Xian
3,东丽区,Dongli Qu
4,东平县,Dongping Xian
5,东港市,Donggang Shi
6,东莞市,Dongguan Shi
7,东阳市,Dongyang Shi
8,东阿县,Donge Xian
9,中原区,Zhongyuan Qu
10,中山市,Zhongshan Shi
11,中牟县,Zhongmu Xian
12,丰南区,Fengnan Qu
13,丰台区,Fengtai Qu
14,丰宁满族自治县,Fengning Manzu Zizhixian
15,丰满区,Fengman Qu
16,丰顺县,Fengshun Xian
17,临县,Lin Xian
18,临城县,Lincheng Xian
19,临夏县,Linxia Xian
20,临安市,Lin'an Shi
21,临武县,Linwu Xian
22,临泽县,Linze Xian
23,临淄区,Linzi Qu
24,临渭区,Linwei Qu
25,临漳县,Linzhang Xian
26,临猗县,Linyi Xian
27,临西县,Linxi Xian
28,丹阳市,Danyang Shi
29,义乌市,Yiwu Shi
30,义安区,Yian Qu
31,义马市,Yima Shi
32,乐东黎族自治区,Ledong Lizu Zizhiqu
33,乐清市,Yueqing Shi
34,乐至县,Lezhi Xian
35,乐都县,Ledu Xian
36,乐陵市,Laoling Shi
37,习水县,Xishui Xian
38,乡宁县,Xiangning Xian
39,二七区,Erqi Qu
40,二道区,Erdao Qu
41,云龙区,Yunlong Qu
42,五华区,Wuhua Qu
43,五华县,Wuhua Xian
44,五台县,Wutai Xian
45,五峰土家族自治县,Wufeng Tujiazu Zizhixian
46,井研县,Jingyan Xian
47,井陉县,Jingxing Xian
48,井陉矿区,Jingxing Kuangqu
49,交口县,Jiaokou Xian
50,交城县,JIaocheng Xian
51,京山县,Jingshan Xian
52,仓山区,Cangshan Qu
53,仙游县,Xianyou Xian
54,仪陇县,Yilong Xian
55,任丘市,Renqiu Shi
56,任城区,Rencheng Qu
57,余姚市,Yuyao Shi
58,余杭区,Yuhang Qu
59,佳县,Jia Xian
60,侯马市,Houma Shi
61,保康县,Baokang Xian
62,修文县,Xiuwen Xian
63,修武县,Xiuwu Xian
64,元氏区,Yuanshi Qu
65,八步区,Babu Qu
66,公安县,Gongan Xian
67,兰坪白族普米族自治县,Lanping Baizu Pumizu Zizhixian
68,兰溪市,Lanxi Shi
69,兴义市,Xingyi Shi
70,兴化市,Xinghua Shi
71,兴宁市,Xingning Shi
72,兴平市,Xingping Shi
73,兴隆台区,Xinglongtai Qu
74,内黄县,Neihuang Xian
75,凌源市,Lingyuan Shi
76,凤凰县,Fenghuang Xian
77,凤城市,Fengcheng Shi
78,凤庆县,Fengqing Xian
79,凤泉区,Fengquan Qu
80,剑川县,Jianchuan Xian
81,剑河县,Jianhe Xian
82,北湖区,Beihu Qu
83,北辰区,Beichen Qu
84,华龙区,Hualong Qu
85,南山区,Nanshan Qu
86,南市区,Nanshi Qu
87,南昌县,Nanchang Xian
88,南江县,Nanjiang Xian
89,南浔区,Nanxun Qu
90,南海区,Nanhai Qu
91,南部县,Nanbu Xian
92,博兴县,Boxing Xian
93,博山区,Boshan Qu
94,卢氏县,Lushi Xian
95,即墨市,Jimo Shi
96,历下区,Lixia Qu
97,历城区,Licheng Qu
98,双流县,Shuangliu Xian
99,古县,Gu Xian
100,古城区,Gucheng Qu
101,古田县,Gutian Xian
102,台山市,Taishan Shi
103,合阳县,Heyang Xian
104,吉利区,Jili Qu
105,同安区,Tongan Qu
106,同心县,Tongxin Xian
