gazetteerId_村志代码,villageInnerId_村庄内部代码,countyId_县区代码,cityId_市代码,provinceId_省代码
1,1,496.0,178,18
2,2,546.0,112,21
3,3,159.0,217,25
4,4,443.0,31,13
5,5,154.0,20,17
6,6,18.0,190,17
7,7,516.0,78,17
8,8,485.0,156,2
9,9,27.0,190,17
10,10,265.0,27,4
11,11,6.0,6,12
12,12,251.0,153,17
13,13,13.0,27,4
14,14,271.0,61,18
15,15,230.0,27,4
16,16,400.0,131,12
17,17,255.0,27,4
18,18,339.0,142,10
19,19,138.0,4,1
20,20,125.0,27,4
21,21,230.0,27,4
22,22,149.0,120,10
23,23,204.0,32,24
24,24,168.0,131,12
25,25,209.0,180,25
26,26,466.0,31,13
27,27,134.0,1,20
28,28,300.0,219,24
29,29,395.0,111,28
30,30,447.0,62,25
31,31,48.0,153,17
32,32,498.0,4,1
33,33,453.0,153,17
34,34,40.0,204,5
35,35,105.0,35,24
36,36,295.0,71,15
37,37,482.0,65,28
38,38,547.0,116,17
39,39,185.0,4,1
40,40,296.0,72,22
41,41,364.0,140,20
42,42,498.0,4,1
43,43,337.0,27,4
44,44,357.0,61,18
45,45,528.0,83,23
46,46,NULL,52,26
47,47,138.0,4,1
48,48,13.0,27,4
49,49,410.0,157,19
50,50,399.0,154,24
51,51,236.0,95,12
52,52,NULL,52,26
53,53,295.0,71,15
54,54,314.0,61,18
55,55,257.0,154,24
56,56,133.0,74,12
57,57,61.0,175,21
58,58,NULL,52,26
59,59,143.0,143,18
60,60,90.0,18,12
61,61,86.0,20,17
62,62,439.0,112,21
63,63,271.0,61,18
64,64,13.0,27,4
65,65,218.0,27,4
66,66,230.0,27,4
67,67,302.0,191,17
68,68,81.0,216,25
69,69,266.0,177,28
70,70,381.0,208,11
71,71,NULL,52,26
72,72,433.0,105,19
73,73,175.0,139,10
74,74,255.0,27,4
75,75,194.0,163,15
76,76,125.0,27,4
77,77,NULL,52,26
78,78,NULL,52,26
79,79,558.0,132,19
80,80,266.0,177,28
81,81,415.0,120,10
82,82,291.0,206,11
83,83,503.0,101,11
84,84,477.0,117,13
85,85,65.0,181,13
86,86,412.0,66,9
87,87,412.0,66,9
88,88,332.0,54,7
89,89,3.0,54,7
90,90,373.0,145,13
91,91,161.0,99,2
92,92,374.0,117,13
93,93,83.0,54,7
94,94,317.0,101,11
95,95,409.0,122,6
96,96,448.0,54,7
97,97,434.0,91,6
98,98,161.0,99,2
99,99,129.0,51,2
100,100,213.0,48,8
101,101,274.0,107,13
102,102,274.0,107,13
103,103,274.0,107,13
104,104,274.0,107,13
105,105,274.0,107,13
106,106,274.0,107,13
107,107,274.0,107,13
108,108,274.0,107,13
109,109,274.0,107,13
110,110,274.0,107,13
111,111,274.0,107,13
112,112,274.0,107,13
113,113,285.0,24,23
114,114,420.0,11,10
115,115,455.0,157,19
